CEO,Sector,Subsector,Resuma en una frase su producto o servicio
Fabian Camilo Peña,Tecnología,,"Somos una empresa especializada en servicios de consultoría en analítica de datos, inteligencia artificial y desarrollo de software con más de cuatro años de experiencia en diferentes industrias. Acompañándolos a nuestros clientes en el diseño, construcción y puesta en operación de sus soluciones digitales, mientras trabajamos con metodologías ágiles que garantizan la generación temprana de valor y la mitigación de riesgos."
"Juan Carlos Monsalve
Ximena Ostos","Agropecuario,Alimentos y/o bebidas",,"Producimos un delicioso cafe que siempre estara recien tostado, nuestro cafe es cuidadosamente cultivado, cuidando el medio ambiente y respetando a nuestros trabajadores."
Francisco Higuera,Alimentos y/o bebidas,,Crema esparsible cacao y frutos secos
"Lina Paola Carvajal Hernández
Camilo Alberto Rincón Jaramillo",Construcción,,"Especialistas en soluciones de diseño y construcción sostenible en el área de ingeniería eléctrica, iluminación, sistemas hidrosanitarios, sistemas contra incendio, redes de gas, bioclimática, automatización y ventilación mecánica."
Juanita Hernández González,Industria,,"Emprendimiento socioambiental, que resalta y da continuidad a la multiculturalidad colombiana, empodera mujeres artesanas, indígenas de la comunidad Wounaan, Eperara y Wayúu. Emprendimiento seleccionado por la Facultad de Admón. - Universidad de los Andes, en el margen de la celebración de los 50 años de la facultad, como emprendimiento que impacta e inspira a construir país. 
Las Joyas Dichardí, son elaboradas por manos artesanas de la etnia indígena Wounaan,  LILIANA, YOLANDA, ANA Y JAQUELIN. Quienes transmiten sus conocimientos a cada una de nuestras piezas, pues la técnica que usamos en la elaboración la misma que la etnia usa para la realización de  cestería  en  su cultura. 
 La materia prima central de nuestros productos es la fibra de Palma de Werregue, que hace parte de la tradición cultural y cosmogónica de la etnia indígena Wounaan. Además, sólo esta etnia sabe cómo trabajar este tipo de fibra, lo que hace que cada uno de nuestros productos sean únicos, así como exclusivos por la carga cultural que representan y la resignificación de la fibra. 
Nuestras joyas combinan la tradición ancestral y cultural Wounaan, con técnicas de joyería artesanal, razón por la cual la mayoría de nuestras piezas son talladas a mano por expertos joyeros. Como materia prima usamos el cobre bañado en doble baño de oro de 24 kilates y usamos un lacado especial para su cuidado. 
"
Humberto Rueda Armella,"Servicios de consultoria,Recursos Humanos,Educación",,"Talleres, Charlas y Mentorías para el desarrollo del Nuevo Liderazgo y de la Felicidad Laboral. 
Todo esto soportado en el modelo que desarrollé para SEMBRAR FELICIDAD en las organizaciones y en el concepto de las COMPETENCIAS INTERNAS, un conjunto de 12 competencias, más esenciales que las blandas y que son los ingredientes de la INTELIGENCIA ESPIRITUAL.
Autor del libro CÓMO SEMBRAR FELICIDAD EN LA ORGANIZACIÓN Y EN LA VIDA y su versión en inglés LEADING THE SEEDS (Liderando las Semillas)"
Alexandra González Leyva,Servicios de consultoria,,"Empresa colombiana fundada el 16 de Enero de 2020, nuestro objetivo es la Creatividad como motor para la enseñanza. Se dictan Capacitaciones, talleres y conferencias en temas como:

Creatividad Para la Resolución de Problemas.
Liderazgo Creativo
Formador de Formadores.
Planeación Estratégica.
Asesorías, Auditorias, Conferencias y Cursos de Buenas Prácticas de Manufactura, Manipuladores de Alimentos, Cultura de Inocuidad y Desarrollo de Nuevos Productos utilizando herramientas de creatividad."
Nancy de la Torre Q.,Industria,,"Consultoría estratégica enfocada en la industria farmacéutica de salud humana y animal. 
- DATA MANAGEMENT: Mapeo y diagnóstico de servicios de información corporativa, desarrollo de la propuesta de automatización de reportes, visualización en plataforma de BI y talleres teorico-prácticos de entrenamiento y análisis de resultados. 
-MERCADO INSTITUCIONAL: Desarrollo de Estudios de Mercados Canal Institucional COL para portafolios actuales y nuevos. La generación de los estudios se basa en fuentes secundarias generadas por el Ministerio de Salud: MIPRES, RIPS y SISMED (Mercado total institucional colombiano).
- MARKET RESEARCH: Conceptualización y desarrollo de estudios de mercados cualitativos / cuantitativos online / presencial. 
- SFP: Modelo de productividad de la fuerza de ventas, definición de KPIs, ajuste del CRM, esquemas de pago variable, planes de acción. 


"
CAMILO PUENTES IREGUI,"Tecnología,Recursos Humanos,Servicios de consultoria",,"SAKYA ES UNA EMPRESA DEDICADA A LA CONSULTORIA E IMPLEMENTACIÓN DE SOFTWARE ERP. NOS ENFOCAMOS ESPECIFICAMENTE EN IMPLEMENTAR ODOO. ODOO ES UN SOFTWARE QUE INTEGRA TODOS LOS PROCESOS DE LAS EMPRESAS EN UNA UNICA SOLUCIÓN, DESDE CRM, VENTAS, eCOMMERCE, INVENTARIOS, FACTURACIÓN, CONTABILIDAD, MANUFACTURA, COMPRAS, PUNTO DE VENTA, PROYECTOS, Y MAS. "
Angee Tatiana Ospina Herrera,Alimentos y/o bebidas,,"Tienda de café centrada en ofrecer café especial con perfiles de taza calificados como tal, ofrecemos productos artesanales y tradicionales que son el maridaje perfecto. Tenemos un espacio perfecto para relajarse, concentrarse y olvidarse del ruido de la zona.

Ofrecemos además productos para otras tiendas de café, para eventos sociales y familiares, así como catering para eventos y reuniones de tipo profesional."
Nohora Carrillo Nieto,Turismo,,"Nuna Sinsi es una agencia de viajes colombiana enfocada en ofrecer experiencias de sanación física, mental y espiritual con medicina ancestral indígena. Trabajamos con Taitas o médicos tradicionales de las comunidades Inga, Cofán y Nasa, con los que tenemos tres experiencias para todos los gustos y caminos y un retiro en el Putumayo con los Cofanes."
LETTY VICTORIA GONZALEZ RUIZ,Alimentos y/o bebidas,,Platos creativos inspirados en la comida casual del mundo.
"Loren Rodriguez Estrada
Diana Cruz Gordillo
Daniel Villarraga
Juan Felipe Díaz ","Educación,Tecnología",,"Laude es una organización colombiana dedicada a la educación complementaria de estudiantes de secundaria. Nuestro objetivo es romper barreras geográficas y económicas, brindando a nuestros estudiantes herramientas efectivas para potenciar su proceso de aprendizaje. 

Ofrecemos cursos asincrónicos de alta calidad y bajo costo, distribuidos a través de plataformas online. En Laude, trabajamos con innovaciones tecnológicas para crear rutas de aprendizaje personalizadas y contenido interactivo que engancha y motiva a nuestros estudiantes."
José Alejandro Stozitzky Serna,Tecnología,,Un outsourcing aliado de servicios empresariales
Nicolás Velásquez,Tecnología,,"Somos su empresa de desarrollo de productos electrónicos. Dé vida a su idea con DeepSea Developments, una empresa de desarrollo de productos que puede ayudarte con tu diseño y desarrollo de hardware, prototipado rápido y soluciones IoT escalables."
German Chaves Ballesteros,Salud,,"Un punto de venta ( fisico y virtual ),  donde encuentras todo lo necesario para el montaje, mantenimiento y reparacion de purificadores y plantas de tratamiento, de agua para consumo.  Igualmente diseño, montaje, mantenimiento y "
Patricia  Gonzalez A,Servicios de consultoria,,"Tengo un emprendiemiento de asesoría inmobiliaria con expertos en procesos y trámites inmobiliarios,."
Juan Pablo González ,Industria,,"Isoplásticos es una empresa que produce piezas plásticas rígidas, mediante procesos de inyección y Soplado.
Contamos con un área de diseño y fabricación de Moldes. "
"Jose Alejandro Stozitzky
Alejandro Jose Abuchaibe","Tecnología,Servicios de consultoria,BPO - RPA",,Somos una empresa de servicios de outsourcing (backoffice) con tecnología y recurso humano especializado
Nicolás Arango,Tecnología,,
Paula Andrea Perucho Santos,"Servicios de consultoria,Educación",,"Acompaño a personas, que desean que su dinero les alcance para cumplir sus metas, a crear una vida en bienestar económico, mental y corporal. Logrando crear excedentes de dinero con sus recursos actuales, tranquilidad emocional y así reducir la angustia con el dinero."
NESTOR EDUARDO RODRIGUEZ ROZO,Entretenimiento,,Somos la primer revista digital de los EMPRENDEDORES  LATINOAMERICANOS
